id;locale;start_promt;another_promt;trailer
34;fy; Hallo! Advisearje in willekeurige film as searje. Werom it antwurd strikt yn it folgjende formaat: { 'title' : De namme fan 'e film of searje, 'poster' : Link nei in ôfbylding út in film of searje, sykje nei in ôfbylding op 'e side imdb, 'desc' : Detaillearre beskriuwing fan 'e film of searje }; Biede in oare film as searje. Werom it antwurd strikt yn it folgjende formaat: { 'title' : De namme fan 'e film of searje, 'poster' : Link nei in ôfbylding út in film of searje, sykje nei in ôfbylding op 'e side imdb, 'desc' : Detaillearre beskriuwing fan 'e film of searje }; Dankewol! Fyn asjebleaft in kepling nei de trailer
35;gl; Ola! Aconsella unha película ou serie aleatoria. Devolve a resposta estrictamente no seguinte formato: { 'title' : O nome da película ou serie, 'poster' : Ligazón a unha imaxe dunha película ou serie, busque unha foto no sitio imdb, 'desc' : Descrición detallada da película ou serie }; Ofrece outra película ou serie. Devolve a resposta estrictamente no seguinte formato: { 'title' : O nome da película ou serie, 'poster' : Ligazón a unha imaxe dunha película ou serie, busque unha foto no sitio imdb, 'desc' : Descrición detallada da película ou serie }; Grazas! Atopa unha ligazón ao trailer
36;ka; გამარჯობა! გირჩევთ შემთხვევითი ფილმი ან სერიალი. დააბრუნეთ პასუხი მკაცრად შემდეგ ფორმატში: { 'title' : ფილმის ან სერიის სახელი, 'poster' : ბმული ფილმიდან ან სერიიდან, მოძებნეთ სურათი imdb საიტზე, 'desc' : ფილმის ან სერიის დეტალური აღწერა }; შესთავაზეთ კიდევ ერთი ფილმი ან სერია. დააბრუნეთ პასუხი მკაცრად შემდეგ ფორმატში: { 'title' : ფილმის ან სერიის სახელი, 'poster' : ბმული ფილმიდან ან სერიიდან, მოძებნეთ სურათი imdb საიტზე, 'desc' : ფილმის ან სერიის დეტალური აღწერა }; მადლობა! გთხოვთ, იპოვოთ ბმული ტრეილერის შესახებ
37;de; Hallo! Beraten Sie einen zufälligen Film oder eine zufällige Serie. Geben Sie die Antwort ausschließlich im folgenden Format zurück: { 'title' : Der Name des Films oder der Serie, 'poster' : Link zu einem Bild aus einem Film oder einer Serie, suchen Sie nach einem Bild auf der Website imdb, 'desc' : Detaillierte Beschreibung des Films oder der Serie }; Bieten Sie einen weiteren Film oder eine andere Serie an. Geben Sie die Antwort ausschließlich im folgenden Format zurück: { 'title' : Der Name des Films oder der Serie, 'poster' : Link zu einem Bild aus einem Film oder einer Serie, suchen Sie nach einem Bild auf der Website imdb, 'desc' : Detaillierte Beschreibung des Films oder der Serie }; Danke schön! Bitte finden Sie einen Link zum Trailer
38;el; Γειά σου! Συμβουλευτείτε μια τυχαία ταινία ή σειρά. Επιστρέψτε αυστηρά την απάντηση στην ακόλουθη μορφή: { 'title' : Το όνομα της ταινίας ή της σειράς, 'poster' : Σύνδεσμος σε μια εικόνα από μια ταινία ή μια σειρά, αναζητήστε μια φωτογραφία στο site imdb, 'desc' : Λεπτομερής περιγραφή της ταινίας ή της σειράς }; Προσφέρετε μια άλλη ταινία ή σειρά. Επιστρέψτε αυστηρά την απάντηση στην ακόλουθη μορφή: { 'title' : Το όνομα της ταινίας ή της σειράς, 'poster' : Σύνδεσμος σε μια εικόνα από μια ταινία ή μια σειρά, αναζητήστε μια φωτογραφία στο site imdb, 'desc' : Λεπτομερής περιγραφή της ταινίας ή της σειράς }; Σας ευχαριστώ! Βρείτε έναν σύνδεσμο στο τρέιλερ
39;gn; Mba'éichapa! Oñemoñe'ê peteî película térã serie aleatoria. Embojevy ñembohovái estrictamente ko formato-pe: { 'title' : Pe pelíkula térã serie réra ., 'poster' : Enlace peteĩ ta'anga peteĩ película térã serie-gui, eheka peteĩ ta'anga pe sitio imdb-pe ., 'desc' : Descripción detallada de la película térã serie rehegua . }; Oikuave'ê ambue película térã serie. Embojevy ñembohovái estrictamente ko formato-pe: { 'title' : Pe pelíkula térã serie réra ., 'poster' : Enlace peteĩ ta'anga peteĩ película térã serie-gui, eheka peteĩ ta'anga pe sitio imdb-pe ., 'desc' : Descripción detallada de la película térã serie rehegua . }; Aguyje! Eheka peteĩ enlace pe remolque-pe .
40;gu; હેલો! રેન્ડમ ફિલ્મ અથવા શ્રેણીને સલાહ આપો. નીચે આપેલા ફોર્મેટમાં જવાબ સખત રીતે પરત કરો: { 'title' : ફિલ્મ અથવા શ્રેણીનું નામ, 'poster' : કોઈ ફિલ્મ અથવા શ્રેણીના ચિત્રની લિંક, સાઇટ આઇએમડીબી.કોમ પર કોઈ ચિત્ર જુઓ, 'desc' : ફિલ્મ અથવા શ્રેણીનું વિગતવાર વર્ણન }; બીજી ફિલ્મ અથવા શ્રેણી પ્રદાન કરો. નીચે આપેલા ફોર્મેટમાં જવાબ સખત રીતે પરત કરો: { 'title' : ફિલ્મ અથવા શ્રેણીનું નામ, 'poster' : કોઈ ફિલ્મ અથવા શ્રેણીના ચિત્રની લિંક, સાઇટ આઇએમડીબી.કોમ પર કોઈ ચિત્ર જુઓ, 'desc' : ફિલ્મ અથવા શ્રેણીનું વિગતવાર વર્ણન }; આભાર! કૃપા કરીને ટ્રેલરની એક લિંક શોધો
41;ht; Bonjou! Konseye yon fim o aza oswa seri. Retounen repons lan entèdi nan fòma sa a: { 'title' : Non fim nan oswa seri, 'poster' : Link nan yon foto ki sòti nan yon fim oswa seri, gade pou yon foto sou sit la imdb, 'desc' : Deskripsyon detaye sou fim nan oswa seri }; Ofri yon lòt fim oswa seri. Retounen repons lan entèdi nan fòma sa a: { 'title' : Non fim nan oswa seri, 'poster' : Link nan yon foto ki sòti nan yon fim oswa seri, gade pou yon foto sou sit la imdb, 'desc' : Deskripsyon detaye sou fim nan oswa seri }; Mèsi! Tanpri jwenn yon lyen nan trelè a
42;ha; Sannu! Ba da shawara a bazuwar ko jerin. Dawo da amsar a cikin wannan tsari: { 'title' : Sunan fim ko jerin, 'poster' : Haɗi zuwa hoto daga fim ko jerin jerin, nemi hoto a shafin imdb, 'desc' : Cikakken bayanin fim ko jerin }; Bayar da wani fim ko jerin. Dawo da amsar a cikin wannan tsari: { 'title' : Sunan fim ko jerin, 'poster' : Haɗi zuwa hoto daga fim ko jerin jerin, nemi hoto a shafin imdb, 'desc' : Cikakken bayanin fim ko jerin }; Na gode! Da fatan za a nemi hanyar haɗi zuwa trailer
43;haw; Aloha! E aʻo i kahi kiʻiʻoniʻoni a iʻole nā hanana. E hoʻi hou i ka pane i loko o kēiaʻano penei: { 'title' : ʻO ka inoa o ke kiʻiʻoniʻoni a iʻole nāʻano, 'poster' : Pili i ke kiʻi mai kahi kiʻiʻoniʻoni a iʻole ka hōʻikeʻana, eʻimi no ke kiʻi ma ka pūnaewele imdb, 'desc' : ʻO ka wehewehe kiko'ī o ka kiʻiʻoniʻoni a iʻole nāʻano }; Hāʻawi i kekahi kiʻi kiʻi kiʻi kiʻi a iʻole nāʻano. E hoʻi hou i ka pane i loko o kēiaʻano penei: { 'title' : ʻO ka inoa o ke kiʻiʻoniʻoni a iʻole nāʻano, 'poster' : Pili i ke kiʻi mai kahi kiʻiʻoniʻoni a iʻole ka hōʻikeʻana, eʻimi no ke kiʻi ma ka pūnaewele imdb, 'desc' : ʻO ka wehewehe kiko'ī o ka kiʻiʻoniʻoni a iʻole nāʻano }; Mahalo iā ʻoe! Eʻoluʻolu e kiʻi i kahi loulou i ka pahu kaʻa
44;iw; שלום! ייעץ לסרט או סדרה אקראית. החזירו את התשובה בקפדנות בפורמט הבא: { 'title' : שם הסרט או הסדרה, 'poster' : קישור לתמונה מסרט או סדרה, חפש תמונה באתר imdb, 'desc' : תיאור מפורט של הסרט או הסדרה }; להציע סרט או סדרה אחרים. החזירו את התשובה בקפדנות בפורמט הבא: { 'title' : שם הסרט או הסדרה, 'poster' : קישור לתמונה מסרט או סדרה, חפש תמונה באתר imdb, 'desc' : תיאור מפורט של הסרט או הסדרה }; תודה! אנא מצא קישור לטריילר
45;hi; नमस्ते! एक यादृच्छिक फिल्म या श्रृंखला की सलाह दें। निम्नलिखित प्रारूप में उत्तर को सख्ती से लौटाएं: { 'title' : फिल्म या श्रृंखला का नाम, 'poster' : एक फिल्म या श्रृंखला से एक तस्वीर के लिए लिंक, साइट imdb पर एक तस्वीर देखें, 'desc' : फिल्म या श्रृंखला का विस्तृत विवरण }; एक और फिल्म या श्रृंखला प्रदान करें। निम्नलिखित प्रारूप में उत्तर को सख्ती से लौटाएं: { 'title' : फिल्म या श्रृंखला का नाम, 'poster' : एक फिल्म या श्रृंखला से एक तस्वीर के लिए लिंक, साइट imdb पर एक तस्वीर देखें, 'desc' : फिल्म या श्रृंखला का विस्तृत विवरण }; धन्यवाद! कृपया ट्रेलर का लिंक खोजें
46;hmn; Nyob zoo! Qhia ib zaj yeeb yaj kiab random lossis koob. Xa cov lus teb nruj me ntsis hauv cov qauv hauv qab no: { 'title' : Lub npe ntawm zaj duab xis lossis series, 'poster' : Txuas rau daim duab los ntawm zaj duab xis los yog series, saib daim duab ntawm lub vev xaib imdb, 'desc' : Cov lus qhia ntxaws ntxaws ntawm zaj duab xis lossis series }; Muab lwm zaj yeeb yaj kiab lossis koob. Xa cov lus teb nruj me ntsis hauv cov qauv hauv qab no: { 'title' : Lub npe ntawm zaj duab xis lossis series, 'poster' : Txuas rau daim duab los ntawm zaj duab xis los yog series, saib daim duab ntawm lub vev xaib imdb, 'desc' : Cov lus qhia ntxaws ntxaws ntawm zaj duab xis lossis series }; Ua tsaug! Thov nrhiav qhov txuas mus rau trailer
47;hu; Helló! Javasson egy véletlenszerű filmet vagy sorozatot. Visszaadja a választ szigorúan a következő formátumban: { 'title' : A film vagy sorozat neve, 'poster' : Link egy filmhez vagy sorozatról, keressen egy képet az imdb webhelyen, 'desc' : A film vagy sorozat részletes leírása }; Ajánljon egy másik filmet vagy sorozatot. Visszaadja a választ szigorúan a következő formátumban: { 'title' : A film vagy sorozat neve, 'poster' : Link egy filmhez vagy sorozatról, keressen egy képet az imdb webhelyen, 'desc' : A film vagy sorozat részletes leírása }; Köszönöm! Kérjük, találjon egy linket a pótkocsihoz
48;is; Halló! Ráðleggja handahófi kvikmynd eða seríu. Skilaðu svarinu stranglega á eftirfarandi sniði: { 'title' : Nafn myndarinnar eða seríunnar, 'poster' : Tengill á mynd úr kvikmynd eða seríu, leitaðu að mynd á síðunni imdb, 'desc' : Ítarleg lýsing á myndinni eða seríunni }; Bjóða upp á aðra kvikmynd eða seríu. Skilaðu svarinu stranglega á eftirfarandi sniði: { 'title' : Nafn myndarinnar eða seríunnar, 'poster' : Tengill á mynd úr kvikmynd eða seríu, leitaðu að mynd á síðunni imdb, 'desc' : Ítarleg lýsing á myndinni eða seríunni }; Þakka þér fyrir! Vinsamlegast finndu hlekk á kerru
49;ig; Nnọọ! Nye ndụmọdụ ihe nkiri ma ọ bụ usoro. Weghachite azịza ahụ siri ike na usoro a: { 'title' : Aha ihe nkiri ma ọ bụ usoro, 'poster' : Njikọ na eserese site na ihe nkiri ma ọ bụ usoro, lee eserese na saịtị imdb, 'desc' : Nkọwa zuru ezu banyere ihe nkiri ma ọ bụ usoro }; Nye ihe nkiri ma ọ bụ usoro ọzọ. Weghachite azịza ahụ siri ike na usoro a: { 'title' : Aha ihe nkiri ma ọ bụ usoro, 'poster' : Njikọ na eserese site na ihe nkiri ma ọ bụ usoro, lee eserese na saịtị imdb, 'desc' : Nkọwa zuru ezu banyere ihe nkiri ma ọ bụ usoro }; Daalụ! Biko chọta njikọ na trailer
50;ilo; Hello! Balakadan ti random film wenno series. Isubli ti sungbat a nainget iti sumaganad a pormat: { 'title' : Ti nagan ti pelikula wenno serye ., 'poster' : Link to a picture from a film wenno series, agsapul iti ladawan iti site nga imdb ., 'desc' : Detalyado a panangiladawan ti pelikula wenno serye . }; Mangitukon iti sabali a pelikula wenno serye. Isubli ti sungbat a nainget iti sumaganad a pormat: { 'title' : Ti nagan ti pelikula wenno serye ., 'poster' : Link to a picture from a film wenno series, agsapul iti ladawan iti site nga imdb ., 'desc' : Detalyado a panangiladawan ti pelikula wenno serye . }; Aagyaman! Pangngaasiyo ta agbirokkayo iti link iti trailer .
51;id; Halo! Sarankan film atau seri acak. Kembalikan jawabannya secara ketat dalam format berikut: { 'title' : Nama film atau serial, 'poster' : Tautan ke gambar dari film atau serial, cari gambar di situs imdb, 'desc' : Deskripsi rinci film atau serial ini }; Tawarkan film atau seri lain. Kembalikan jawabannya secara ketat dalam format berikut: { 'title' : Nama film atau serial, 'poster' : Tautan ke gambar dari film atau serial, cari gambar di situs imdb, 'desc' : Deskripsi rinci film atau serial ini }; Terima kasih! Silakan temukan tautan ke trailer
52;ga; Dia duit! Cuir scannán nó sraith randamach in iúl. Cuir an freagra ar ais go docht san fhormáid seo a leanas: { 'title' : Ainm an scannáin nó na sraithe, 'poster' : Nasc le pictiúr ó scannán nó ó shraith, féach pictiúr ar an suíomh imdb, 'desc' : Cur síos mionsonraithe ar an scannán nó ar an tsraith }; Scannán nó sraith eile a thairiscint. Cuir an freagra ar ais go docht san fhormáid seo a leanas: { 'title' : Ainm an scannáin nó na sraithe, 'poster' : Nasc le pictiúr ó scannán nó ó shraith, féach pictiúr ar an suíomh imdb, 'desc' : Cur síos mionsonraithe ar an scannán nó ar an tsraith }; Go raibh maith agat! Faigh nasc leis an leantóir le do thoil
53;it; Ciao! Consiglia un film o una serie casuale. Restituisci la risposta rigorosamente nel seguente formato: { 'title' : Il nome del film o della serie, 'poster' : Collegamento a un'immagine di un film o una serie, cerca un'immagine sul sito imdb, 'desc' : Descrizione dettagliata del film o della serie }; Offri un altro film o serie. Restituisci la risposta rigorosamente nel seguente formato: { 'title' : Il nome del film o della serie, 'poster' : Collegamento a un'immagine di un film o una serie, cerca un'immagine sul sito imdb, 'desc' : Descrizione dettagliata del film o della serie }; Grazie! Si prega di trovare un link al trailer
54;ja; こんにちは！ランダムな映画やシリーズにアドバイスします。回答を次の形式で厳密に返します。 { 'title' : 映画やシリーズの名前, 'poster' : 映画やシリーズの写真にリンクして、サイトimdbのサイトで写真を探してください, 'desc' : 映画またはシリーズの詳細な説明 }; 別の映画やシリーズを提供してください。回答を次の形式で厳密に返します。 { 'title' : 映画やシリーズの名前, 'poster' : 映画やシリーズの写真にリンクして、サイトimdbのサイトで写真を探してください, 'desc' : 映画またはシリーズの詳細な説明 }; ありがとう！トレーラーへのリンクを見つけてください
55;jw; Halo! Maringi pitunjuk film utawa seri acak. Wangsul wangsulan kanthi ketat ing format ing ngisor iki: { 'title' : Jeneng film utawa seri, 'poster' : Link menyang gambar saka film utawa seri, goleki gambar ing situs imdb, 'desc' : Katrangan lengkap babagan film utawa seri }; Nawarake film utawa seri liyane. Wangsul wangsulan kanthi ketat ing format ing ngisor iki: { 'title' : Jeneng film utawa seri, 'poster' : Link menyang gambar saka film utawa seri, goleki gambar ing situs imdb, 'desc' : Katrangan lengkap babagan film utawa seri }; Matur nuwun! Mangga goleki link menyang trailer
56;kn; ಹಲೋ! ಯಾದೃಚ್ film ಿಕ ಚಲನಚಿತ್ರ ಅಥವಾ ಸರಣಿಗೆ ಸಲಹೆ ನೀಡಿ. ಕೆಳಗಿನ ಸ್ವರೂಪದಲ್ಲಿ ಉತ್ತರವನ್ನು ಕಟ್ಟುನಿಟ್ಟಾಗಿ ಹಿಂತಿರುಗಿ: { 'title' : ಚಲನಚಿತ್ರ ಅಥವಾ ಸರಣಿಯ ಹೆಸರು, 'poster' : ಚಲನಚಿತ್ರ ಅಥವಾ ಸರಣಿಯ ಚಿತ್ರಕ್ಕೆ ಲಿಂಕ್ ಮಾಡಿ, imdb ಸೈಟ್‌ನಲ್ಲಿ ಚಿತ್ರಕ್ಕಾಗಿ ನೋಡಿ, 'desc' : ಚಲನಚಿತ್ರ ಅಥವಾ ಸರಣಿಯ ವಿವರವಾದ ವಿವರಣೆ }; ಮತ್ತೊಂದು ಚಲನಚಿತ್ರ ಅಥವಾ ಸರಣಿಯನ್ನು ನೀಡಿ. ಕೆಳಗಿನ ಸ್ವರೂಪದಲ್ಲಿ ಉತ್ತರವನ್ನು ಕಟ್ಟುನಿಟ್ಟಾಗಿ ಹಿಂತಿರುಗಿ: { 'title' : ಚಲನಚಿತ್ರ ಅಥವಾ ಸರಣಿಯ ಹೆಸರು, 'poster' : ಚಲನಚಿತ್ರ ಅಥವಾ ಸರಣಿಯ ಚಿತ್ರಕ್ಕೆ ಲಿಂಕ್ ಮಾಡಿ, imdb ಸೈಟ್‌ನಲ್ಲಿ ಚಿತ್ರಕ್ಕಾಗಿ ನೋಡಿ, 'desc' : ಚಲನಚಿತ್ರ ಅಥವಾ ಸರಣಿಯ ವಿವರವಾದ ವಿವರಣೆ }; ಧನ್ಯವಾದಗಳು! ದಯವಿಟ್ಟು ಟ್ರೈಲರ್‌ಗೆ ಲಿಂಕ್ ಅನ್ನು ಹುಡುಕಿ
57;kk; Сәлем! Кездейсоқ фильмге немесе серияға кеңес беріңіз. Жауапты келесі форматта қайтарыңыз: { 'title' : Фильмнің немесе сериялардың атауы, 'poster' : Фильмнен немесе сериядан суретке сілтеме, imdb сайтында суретті іздеңіз, 'desc' : Фильмнің немесе сериялардың толық сипаттамасы }; Басқа фильм немесе серияны ұсыныңыз. Жауапты келесі форматта қайтарыңыз: { 'title' : Фильмнің немесе сериялардың атауы, 'poster' : Фильмнен немесе сериядан суретке сілтеме, imdb сайтында суретті іздеңіз, 'desc' : Фильмнің немесе сериялардың толық сипаттамасы }; Рақмет сізге! Тіркемеге сілтеме табыңыз
58;km; សួស្តី! ណែនាំខ្សែភាពយន្តឬស៊េរីចៃដន្យ។ ត្រឡប់ចម្លើយយ៉ាងតឹងរឹងតាមទំរង់ដូចខាងក្រោមៈ { 'title' : ឈ្មោះខ្សែភាពយន្តឬស៊េរី, 'poster' : ភ្ជាប់ទៅនឹងរូបភាពពីខ្សែភាពយន្តឬស៊េរីរកមើលរូបភាពនៅលើគេហទំព័រ imdb, 'desc' : ការពិពណ៌នាលំអិតនៃខ្សែភាពយន្តឬស៊េរី }; ផ្តល់ជូនខ្សែភាពយន្តឬស៊េរីមួយទៀត។ ត្រឡប់ចម្លើយយ៉ាងតឹងរឹងតាមទំរង់ដូចខាងក្រោមៈ { 'title' : ឈ្មោះខ្សែភាពយន្តឬស៊េរី, 'poster' : ភ្ជាប់ទៅនឹងរូបភាពពីខ្សែភាពយន្តឬស៊េរីរកមើលរូបភាពនៅលើគេហទំព័រ imdb, 'desc' : ការពិពណ៌នាលំអិតនៃខ្សែភាពយន្តឬស៊េរី }; សូមអរគុណ! សូមស្វែងរកតំណភ្ជាប់ទៅនឹងឈុតខ្លីៗ
59;rw; Mwaramutse! Mugire inama firime cyangwa urukurikirane. Subiza igisubizo rwose muburyo bukurikira: { 'title' : Izina rya firime cyangwa urukurikirane, 'poster' : Ihuza kumashusho kuva kuri firime cyangwa urukurikirane, shakisha ifoto kurubuga imdb, 'desc' : Ibisobanuro birambuye bya firime cyangwa urukurikirane }; Tanga indi firime cyangwa urukurikirane. Subiza igisubizo rwose muburyo bukurikira: { 'title' : Izina rya firime cyangwa urukurikirane, 'poster' : Ihuza kumashusho kuva kuri firime cyangwa urukurikirane, shakisha ifoto kurubuga imdb, 'desc' : Ibisobanuro birambuye bya firime cyangwa urukurikirane }; Urakoze! Nyamuneka shakisha umurongo kuri trailer
60;gom; हॅलो! यादस्तिक चित्रपट वा माळेचो सल्लो दिवचो. जाप खरपणान सकयल दिल्ल्या स्वरूपांत परत करची: { 'title' : फिल्माचें वा माळेचें नांव ., 'poster' : फिल्म वा मालिकेच्या चित्राची लिंक, imdb ह्या साइटचेर चित्र पळयात, 'desc' : फिल्माचें वा माळेचें सविस्तर वर्णन }; आनीक एक फिल्म वा मालिका दिवप. जाप खरपणान सकयल दिल्ल्या स्वरूपांत परत करची: { 'title' : फिल्माचें वा माळेचें नांव ., 'poster' : फिल्म वा मालिकेच्या चित्राची लिंक, imdb ह्या साइटचेर चित्र पळयात, 'desc' : फिल्माचें वा माळेचें सविस्तर वर्णन }; तुका देव बरें करूं! उपकार करून ट्रेलराची लिंक सोदून काडात .
61;ko; 안녕하세요! 임의의 필름이나 시리즈를 조언합니다. 다음 형식으로 답변을 엄격하게 반환하십시오. { 'title' : 영화 또는 시리즈의 이름, 'poster' : 영화 나 시리즈의 사진에 대한 링크, 사이트에서 사진을 찾으십시오. imdb, 'desc' : 필름 또는 시리즈에 대한 자세한 설명 }; 다른 영화 나 시리즈를 제공합니다. 다음 형식으로 답변을 엄격하게 반환하십시오. { 'title' : 영화 또는 시리즈의 이름, 'poster' : 영화 나 시리즈의 사진에 대한 링크, 사이트에서 사진을 찾으십시오. imdb, 'desc' : 필름 또는 시리즈에 대한 자세한 설명 }; 감사합니다! 트레일러 링크를 찾으십시오
62;kri; Adu! Advays wan random film ɔ siriɔs. Ritɔn di ansa strikt wan insay di fɔmat we de dɔŋ ya: { 'title' : Di nem fɔ di fim ɔ siriɔs ., 'poster' : Link to a pikchɔ Frɔm wan fim ɔ siriɔs, luk fɔ wan pikchɔ na di sayt imdb, 'desc' : Ditayl diskripshɔn fɔ di fim ɔ siriɔs . }; Ofa ɔda fim ɔ siriɔs. Ritɔn di ansa strikt wan insay di fɔmat we de dɔŋ ya: { 'title' : Di nem fɔ di fim ɔ siriɔs ., 'poster' : Link to a pikchɔ Frɔm wan fim ɔ siriɔs, luk fɔ wan pikchɔ na di sayt imdb, 'desc' : Ditayl diskripshɔn fɔ di fim ɔ siriɔs . }; Tɛnki! Duya, fɛn wan link to di trela .
63;ku; Slav! Fîlimek an rêzek rêzdar şêwir bikin. Bersivê bi hişkî di forma jêrîn de vegerin: { 'title' : Navê fîlim an rêzê, 'poster' : Bi wêneyek ji fîlimek an rêzek ve girêdayî, li ser malpera imdb bigerin wêneyek li ser malperê digerin, 'desc' : Danasîna berfireh a fîlim an rêzê }; Fîlimek an rêzek din pêşkêş bikin. Bersivê bi hişkî di forma jêrîn de vegerin: { 'title' : Navê fîlim an rêzê, 'poster' : Bi wêneyek ji fîlimek an rêzek ve girêdayî, li ser malpera imdb bigerin wêneyek li ser malperê digerin, 'desc' : Danasîna berfireh a fîlim an rêzê }; Sipas ji were! Ji kerema xwe girêdanek li ser trailer bibînin
64;ckb; سڵاو! ئامۆژگاری فیلمێک یان زنجیرەیەکی هەڕەمەکی بکە. بەم فۆرماتەی خوارەوە وەڵامەکە بە توندی بگەڕێنەرەوە: { 'title' : ناوی فیلمەکە یان زنجیرەکە, 'poster' : لینکی وێنەیەک لە فیلمێک یان زنجیرەیەک، بەدوای وێنەیەکدا بگەڕێ لە سایتی imdb, 'desc' : وەسفێکی وردی فیلمەکە یان زنجیرەکە }; فیلمێک یان زنجیرەیەکی تر پێشکەش بکە. بەم فۆرماتەی خوارەوە وەڵامەکە بە توندی بگەڕێنەرەوە: { 'title' : ناوی فیلمەکە یان زنجیرەکە, 'poster' : لینکی وێنەیەک لە فیلمێک یان زنجیرەیەک، بەدوای وێنەیەکدا بگەڕێ لە سایتی imdb, 'desc' : وەسفێکی وردی فیلمەکە یان زنجیرەکە }; سوپاس! تکایە لینکی ترێلەکە بدۆزەرەوە
65;ky; Салам! Кокус тасма же серияны кеңеш бериңиз. Жоопту төмөнкү форматта кайтарыңыз: { 'title' : Фильмдин же сериялардын аты, 'poster' : Фильмден же сериядан сүрөткө шилтеме, сайттын сүрөтүн издеңиз imdb, 'desc' : Фильмдин же сериялардын деталдуу сүрөттөлүшү }; Башка фильмди же серияны сунуштаңыз. Жоопту төмөнкү форматта кайтарыңыз: { 'title' : Фильмдин же сериялардын аты, 'poster' : Фильмден же сериядан сүрөткө шилтеме, сайттын сүрөтүн издеңиз imdb, 'desc' : Фильмдин же сериялардын деталдуу сүрөттөлүшү }; Рахмат! Сураныч, трейлерге шилтеме табыңыз
66;lo; ສະບາຍດີ! ແນະນໍາຮູບເງົາຫຼືຊຸດແບບສຸ່ມ. ສົ່ງຄືນຄໍາຕອບຢ່າງເຂັ້ມງວດໃນຮູບແບບຕໍ່ໄປນີ້: { 'title' : ຊື່ຂອງຮູບເງົາຫຼືຊຸດ, 'poster' : ເຊື່ອມໂຍງກັບຮູບຈາກຮູບເງົາຫຼືຊຸດ, ໃຫ້ຊອກຫາຮູບຢູ່ໃນເວັບໄຊທ໌ imdb, 'desc' : ລາຍລະອຽດລາຍລະອຽດຂອງຮູບເງົາຫຼືຊຸດ }; ສະເຫນີຮູບເງົາຫຼືຊຸດອີກຊຸດຫນຶ່ງ. ສົ່ງຄືນຄໍາຕອບຢ່າງເຂັ້ມງວດໃນຮູບແບບຕໍ່ໄປນີ້: { 'title' : ຊື່ຂອງຮູບເງົາຫຼືຊຸດ, 'poster' : ເຊື່ອມໂຍງກັບຮູບຈາກຮູບເງົາຫຼືຊຸດ, ໃຫ້ຊອກຫາຮູບຢູ່ໃນເວັບໄຊທ໌ imdb, 'desc' : ລາຍລະອຽດລາຍລະອຽດຂອງຮູບເງົາຫຼືຊຸດ }; ຂອບໃຈ! ກະລຸນາຊອກຫາການເຊື່ອມຕໍ່ກັບລົດພ່ວງ
