id;locale;start_promt;another_promt;trailer
67;la; Salve! Monere a temere film aut series. Redi responsum stricte in sequentibus forma: { 'title' : Nomen film aut series, 'poster' : Link to a picture a film aut series, vultus in pictura in locum imdb, 'desc' : Detailed de film aut series }; Offerre alia film aut series. Redi responsum stricte in sequentibus forma: { 'title' : Nomen film aut series, 'poster' : Link to a picture a film aut series, vultus in pictura in locum imdb, 'desc' : Detailed de film aut series }; Gratias ago tibi! Placere invenire link to trailer
68;lv; Sveiki! Konsultēt nejaušu filmu vai sēriju. Atbildi atbildi stingri šādā formātā: { 'title' : Filmas vai sērijas nosaukums, 'poster' : Saite uz attēlu no filmas vai sērijas, vietnē imdb meklējiet attēlu., 'desc' : Detalizēts filmas vai sērijas apraksts }; Piedāvājiet citu filmu vai seriālu. Atbildi atbildi stingri šādā formātā: { 'title' : Filmas vai sērijas nosaukums, 'poster' : Saite uz attēlu no filmas vai sērijas, vietnē imdb meklējiet attēlu., 'desc' : Detalizēts filmas vai sērijas apraksts }; Paldies! Lūdzu, atrodiet saiti uz piekabi
69;ln; Mbote! Bopesa toli na film to série moko ya pamba pamba. Zongisa eyano na ndenge ya sikisiki na format oyo: { 'title' : Nkombo ya filme to ya série ., 'poster' : Lien na elilingi uta na filme to série, luka elilingi na site imdb, 'desc' : Description détaillée ya film to série . }; Pesa film to série mosusu. Zongisa eyano na ndenge ya sikisiki na format oyo: { 'title' : Nkombo ya filme to ya série ., 'poster' : Lien na elilingi uta na filme to série, luka elilingi na site imdb, 'desc' : Description détaillée ya film to série . }; Matondi! Svp boluka lien ya remorque .
70;lt; Sveiki! Patarikite atsitiktinį filmą ar seriją. Grąžinkite atsakymą griežtai tokiu formatu: { 'title' : Filmo ar serijos pavadinimas, 'poster' : Nuoroda į filmo ar serijos nuotrauką, ieškokite paveikslo svetainėje imdb, 'desc' : Išsamus filmo ar serijos aprašymas }; Pasiūlykite dar vieną filmą ar seriją. Grąžinkite atsakymą griežtai tokiu formatu: { 'title' : Filmo ar serijos pavadinimas, 'poster' : Nuoroda į filmo ar serijos nuotrauką, ieškokite paveikslo svetainėje imdb, 'desc' : Išsamus filmo ar serijos aprašymas }; Ačiū! Prašome rasti nuorodą į priekabą
71;lg; Nkulamusizza! Muwe amagezi ku firimu oba series eya random. Ddamu eky'okuddamu strictly mu nkola eno wammanga: { 'title' : Erinnya lya firimu oba series ., 'poster' : Link to a picture from a film or series, noonya ekifaananyi ku mukutu imdb, 'desc' : Ennyonyola enzijuvu ku firimu oba series . }; Muwe firimu endala oba series. Ddamu eky'okuddamu strictly mu nkola eno wammanga: { 'title' : Erinnya lya firimu oba series ., 'poster' : Link to a picture from a film or series, noonya ekifaananyi ku mukutu imdb, 'desc' : Ennyonyola enzijuvu ku firimu oba series . }; Weebale! Nsaba ofune link ya trailer .
72;lb; Hallo! Beréit eng zoufälleg Film oder Serie. D'Äntwert zréck op déi folgend Format zréck: { 'title' : Den Numm vum Film oder Serie, 'poster' : Link zu engem Bild vun engem Film oder Serie, kuckt no engem Bild op der Säit imdb, 'desc' : Detailléiert Beschreiwung vum Film oder Serie }; Bitt eng aner Film oder Serie. D'Äntwert zréck op déi folgend Format zréck: { 'title' : Den Numm vum Film oder Serie, 'poster' : Link zu engem Bild vun engem Film oder Serie, kuckt no engem Bild op der Säit imdb, 'desc' : Detailléiert Beschreiwung vum Film oder Serie }; Merci! W.e.g. fannt e Link op den Trailer
73;mk; Здраво! Советувајте случаен филм или серија. Вратете го одговорот строго во следниот формат: { 'title' : Името на филмот или серијалот, 'poster' : Врска до слика од филм или серија, побарајте слика на страницата imdb, 'desc' : Детален опис на филмот или серијалот }; Понудете друг филм или серија. Вратете го одговорот строго во следниот формат: { 'title' : Името на филмот или серијалот, 'poster' : Врска до слика од филм или серија, побарајте слика на страницата imdb, 'desc' : Детален опис на филмот или серијалот }; Ви благодарам! Ве молиме, најдете врска до приколката
74;mai; नमस्कार! कोनो यादृच्छिक फिल्म या श्रृंखला के सलाह दियौ। उत्तर सख्ती सँ निम्नलिखित प्रारूप मे वापस करू: { 'title' : फिल्म या श्रृंखला के नाम, 'poster' : कोनो फिल्म या श्रृंखला के चित्र के लिंक, साइट imdb पर चित्र देखू, 'desc' : फिल्म या श्रृंखला के विस्तृत विवरण }; कोनो दोसर फिल्म वा सीरीज ऑफर करू। उत्तर सख्ती सँ निम्नलिखित प्रारूप मे वापस करू: { 'title' : फिल्म या श्रृंखला के नाम, 'poster' : कोनो फिल्म या श्रृंखला के चित्र के लिंक, साइट imdb पर चित्र देखू, 'desc' : फिल्म या श्रृंखला के विस्तृत विवरण }; अहां कें धन्यवाद! कृपया ट्रेलर के लिंक ढूंढें
75;mg; Salama! Manoro hevitra horonantsary na andiany iray. Avereno ny valiny amin'ny endrika manaraka: { 'title' : Ny anaran'ilay sarimihetsika na andiany, 'poster' : Rohy amin'ny sary avy amin'ny sarimihetsika na andiany iray, tadiavo sary ao amin'ny tranokala imdb, 'desc' : Famaritana antsipiriany momba ny sarimihetsika na andian-dahatsoratra }; Manolora horonantsary na andiany hafa. Avereno ny valiny amin'ny endrika manaraka: { 'title' : Ny anaran'ilay sarimihetsika na andiany, 'poster' : Rohy amin'ny sary avy amin'ny sarimihetsika na andiany iray, tadiavo sary ao amin'ny tranokala imdb, 'desc' : Famaritana antsipiriany momba ny sarimihetsika na andian-dahatsoratra }; Misaotra anao! Azafady mba jereo ny rohy mankany amin'ny tranofiara
76;ms; Helo! Nasihatkan filem atau siri rawak. Kembalikan jawapan dengan ketat dalam format berikut: { 'title' : Nama filem atau siri, 'poster' : Pautan ke gambar dari filem atau siri, cari gambar di laman web imdb, 'desc' : Penerangan terperinci mengenai filem atau siri }; Menawarkan filem atau siri lain. Kembalikan jawapan dengan ketat dalam format berikut: { 'title' : Nama filem atau siri, 'poster' : Pautan ke gambar dari filem atau siri, cari gambar di laman web imdb, 'desc' : Penerangan terperinci mengenai filem atau siri }; Terima kasih! Sila cari pautan ke treler
77;ml; ഹലോ! ഒരു റാൻഡം ഫിലിം അല്ലെങ്കിൽ സീരീസ് ഉപദേശിക്കുക. ഇനിപ്പറയുന്ന ഫോർമാറ്റിൽ ഉത്തരം കർശനമായി നൽകുക: { 'title' : ഫിലിമിന്റെ അല്ലെങ്കിൽ സീരീസിന്റെ പേര്, 'poster' : ഒരു ഫിലിം അല്ലെങ്കിൽ സീരീസിൽ നിന്ന് ഒരു ചിത്രത്തിലേക്കുള്ള ലിങ്ക് ചെയ്യുക, imdb സൈറ്റിൽ ഒരു ചിത്രം തിരയുക, 'desc' : ഫിലിമിന്റെ അല്ലെങ്കിൽ സീരീസിന്റെ വിശദമായ വിവരണം }; മറ്റൊരു ഫിലിം അല്ലെങ്കിൽ സീരീസ് വാഗ്ദാനം ചെയ്യുക. ഇനിപ്പറയുന്ന ഫോർമാറ്റിൽ ഉത്തരം കർശനമായി നൽകുക: { 'title' : ഫിലിമിന്റെ അല്ലെങ്കിൽ സീരീസിന്റെ പേര്, 'poster' : ഒരു ഫിലിം അല്ലെങ്കിൽ സീരീസിൽ നിന്ന് ഒരു ചിത്രത്തിലേക്കുള്ള ലിങ്ക് ചെയ്യുക, imdb സൈറ്റിൽ ഒരു ചിത്രം തിരയുക, 'desc' : ഫിലിമിന്റെ അല്ലെങ്കിൽ സീരീസിന്റെ വിശദമായ വിവരണം }; നന്ദി! ട്രെയിലറിലേക്ക് ഒരു ലിങ്ക് കണ്ടെത്തുക
78;mt; Hello! Avża film jew serje bl-addoċċ. Irritorna t-tweġiba strettament fil-format li ġej: { 'title' : L-isem tal-film jew serje, 'poster' : Link għal stampa minn film jew serje, fittex stampa fuq is-sit imdb, 'desc' : Deskrizzjoni dettaljata tal-film jew serje }; Joffru film jew serje oħra. Irritorna t-tweġiba strettament fil-format li ġej: { 'title' : L-isem tal-film jew serje, 'poster' : Link għal stampa minn film jew serje, fittex stampa fuq is-sit imdb, 'desc' : Deskrizzjoni dettaljata tal-film jew serje }; Grazzi! Jekk jogħġbok sib link għat-trejler
79;mi; Kia ora Tohutohu i tetahi kiriata tupurangi, raupapa ranei. Whakahokia te whakautu ki te whakatakotoranga e whai ake nei: { 'title' : Ko te ingoa o te kiriata, o te raupapa ranei, 'poster' : Hono ki tetahi pikitia mai i tetahi kiriata, raupapa ranei, tirohia te pikitia i te papanga imdb, 'desc' : Whakaahuatanga taipitopito o te kiriata, o te raupapa ranei }; Tuku tetahi atu kiriata, raupapa ranei. Whakahokia te whakautu ki te whakatakotoranga e whai ake nei: { 'title' : Ko te ingoa o te kiriata, o te raupapa ranei, 'poster' : Hono ki tetahi pikitia mai i tetahi kiriata, raupapa ranei, tirohia te pikitia i te papanga imdb, 'desc' : Whakaahuatanga taipitopito o te kiriata, o te raupapa ranei }; Mauruuru! Tena koa tirohia te hono ki te tira
80;mr; हॅलो! यादृच्छिक चित्रपट किंवा मालिका सल्ला द्या. उत्तर खालील स्वरूपात काटेकोरपणे परत करा: { 'title' : चित्रपटाचे किंवा मालिकेचे नाव, 'poster' : एखाद्या चित्रपटाच्या किंवा मालिकेतील चित्राचा दुवा, साइट आयएमडीबी डॉट कॉमवर चित्र शोधा, 'desc' : चित्रपट किंवा मालिकेचे तपशीलवार वर्णन }; दुसरा चित्रपट किंवा मालिका ऑफर करा. उत्तर खालील स्वरूपात काटेकोरपणे परत करा: { 'title' : चित्रपटाचे किंवा मालिकेचे नाव, 'poster' : एखाद्या चित्रपटाच्या किंवा मालिकेतील चित्राचा दुवा, साइट आयएमडीबी डॉट कॉमवर चित्र शोधा, 'desc' : चित्रपट किंवा मालिकेचे तपशीलवार वर्णन }; धन्यवाद! कृपया ट्रेलरचा दुवा शोधा
81;mni-Mtei; ꯍꯦꯜꯂꯣ! ꯔꯦꯟꯗꯝ ꯑꯣꯏꯕꯥ ꯐꯤꯜꯃ ꯅꯠꯠꯔꯒꯥ ꯁꯤꯔꯤꯖ ꯑꯃꯗꯥ ꯄꯥꯎꯇꯥꯛ ꯄꯤꯌꯨ꯫ ꯃꯈꯥꯗꯥ ꯄꯤꯔꯤꯕꯥ ꯐꯣꯔꯃꯦꯠꯇꯥ ꯄꯥꯎꯈꯨꯝ ꯑꯗꯨ ꯑꯀꯅꯕꯥ ꯃꯑꯣꯡꯗꯥ ꯍꯜꯂꯀꯎ: { 'title' : ꯐꯤꯜꯃ ꯅꯠꯔꯒꯥ ꯁꯤꯔꯤꯖ ꯑꯁꯤꯒꯤ ꯃꯃꯤꯡ ., 'poster' : ꯐꯤꯜꯃ ꯅꯠꯠꯔꯒꯥ ꯁꯤꯔꯤꯖ ꯑꯃꯗꯒꯤ ꯂꯧꯕꯥ ꯐꯣꯇꯣ ꯑꯃꯒꯤ ꯂꯤꯉ꯭ꯛ, ꯁꯥꯏꯠ ꯑꯁꯤꯗꯥ ꯌꯥꯑꯣꯔꯤꯕꯥ ꯐꯣꯇꯣ ꯑꯃꯥ ꯌꯦꯡꯕꯤꯌꯨ imdb, 'desc' : ꯐꯤꯜꯃ ꯅꯠꯔꯒꯥ ꯁꯤꯔꯤꯖ ꯑꯁꯤꯒꯤ ꯑꯀꯨꯞꯄꯥ ꯃꯔꯣꯜ }; ꯑꯇꯣꯞꯄꯥ ꯐꯤꯜꯃ ꯑꯃꯥ ꯅꯠꯠꯔꯒꯥ ꯁꯤꯔꯤꯖ ꯑꯃꯥ ꯄꯤꯌꯨ꯫ ꯃꯈꯥꯗꯥ ꯄꯤꯔꯤꯕꯥ ꯐꯣꯔꯃꯦꯠꯇꯥ ꯄꯥꯎꯈꯨꯝ ꯑꯗꯨ ꯑꯀꯅꯕꯥ ꯃꯑꯣꯡꯗꯥ ꯍꯜꯂꯀꯎ: { 'title' : ꯐꯤꯜꯃ ꯅꯠꯔꯒꯥ ꯁꯤꯔꯤꯖ ꯑꯁꯤꯒꯤ ꯃꯃꯤꯡ ., 'poster' : ꯐꯤꯜꯃ ꯅꯠꯠꯔꯒꯥ ꯁꯤꯔꯤꯖ ꯑꯃꯗꯒꯤ ꯂꯧꯕꯥ ꯐꯣꯇꯣ ꯑꯃꯒꯤ ꯂꯤꯉ꯭ꯛ, ꯁꯥꯏꯠ ꯑꯁꯤꯗꯥ ꯌꯥꯑꯣꯔꯤꯕꯥ ꯐꯣꯇꯣ ꯑꯃꯥ ꯌꯦꯡꯕꯤꯌꯨ imdb, 'desc' : ꯐꯤꯜꯃ ꯅꯠꯔꯒꯥ ꯁꯤꯔꯤꯖ ꯑꯁꯤꯒꯤ ꯑꯀꯨꯞꯄꯥ ꯃꯔꯣꯜ }; ꯊꯥꯒꯠꯆꯔꯤ! ꯆꯥꯅꯕꯤꯗꯨꯅꯥ ꯇ꯭ꯔꯦꯂꯔꯒꯤ ꯂꯤꯉ꯭ꯛ ꯑꯃꯥ ꯊꯤꯕꯤꯌꯨ
82;lus; Chibai! Random film emaw series emaw advise rawh. Chhanna chu a hnuaia format-ah hian khauh takin rawn thawn leh rawh: { 'title' : Film emaw series emaw hming ., 'poster' : Film emaw series emaw atanga thlalak link, site imdb ah thlalak zawng rawh., 'desc' : Film emaw series emaw chungchang chipchiar taka sawifiahna }; Film emaw series emaw dang offer rawh. Chhanna chu a hnuaia format-ah hian khauh takin rawn thawn leh rawh: { 'title' : Film emaw series emaw hming ., 'poster' : Film emaw series emaw atanga thlalak link, site imdb ah thlalak zawng rawh., 'desc' : Film emaw series emaw chungchang chipchiar taka sawifiahna }; Ka lawm e! Trailer link hi zawng la .
83;mn; Сайн! Санамсаргүй кино эсвэл цуврал зөвлөгөө өгөх. Дараах форматаар хариултыг нь хатуу буцаана уу. { 'title' : Кино эсвэл цуврал нэр, 'poster' : Кино эсвэл цувралын зураг эсвэл цувралын зургийг холбож, imdb дээр зураг хайж үзээрэй, 'desc' : Кино эсвэл цувралын дэлгэрэнгүй тайлбар }; Өөр кино эсвэл цуврал санал болгох. Дараах форматаар хариултыг нь хатуу буцаана уу. { 'title' : Кино эсвэл цуврал нэр, 'poster' : Кино эсвэл цувралын зураг эсвэл цувралын зургийг холбож, imdb дээр зураг хайж үзээрэй, 'desc' : Кино эсвэл цувралын дэлгэрэнгүй тайлбар }; Баярлалаа! Чиргүүлийн холбоосыг олно уу
84;my; မင်္ဂလာပါ! ကျပန်းရုပ်ရှင်သို့မဟုတ်စီးရီးကိုအကြံပေးပါ။ အောက်ပါပုံစံဖြင့်အဖြေကိုတင်းကြပ်စွာပြန်ပို့ပါ။ { 'title' : ရုပ်ရှင်သို့မဟုတ်စီးရီး၏အမည်, 'poster' : ရုပ်ရှင်သို့မဟုတ်စီးရီးမှရုပ်ပုံတစ်ခုနှင့်ချိတ်ဆက်ပါ, imdb ဆိုဒ်ရှိဓာတ်ပုံကိုရှာပါ, 'desc' : ရုပ်ရှင်သို့မဟုတ်စီးရီး၏အသေးစိတ်ဖော်ပြချက် }; အခြားရုပ်ရှင်သို့မဟုတ်စီးရီးကိုဆက်ကပ်။ အောက်ပါပုံစံဖြင့်အဖြေကိုတင်းကြပ်စွာပြန်ပို့ပါ။ { 'title' : ရုပ်ရှင်သို့မဟုတ်စီးရီး၏အမည်, 'poster' : ရုပ်ရှင်သို့မဟုတ်စီးရီးမှရုပ်ပုံတစ်ခုနှင့်ချိတ်ဆက်ပါ, imdb ဆိုဒ်ရှိဓာတ်ပုံကိုရှာပါ, 'desc' : ရုပ်ရှင်သို့မဟုတ်စီးရီး၏အသေးစိတ်ဖော်ပြချက် }; ကျေးဇူးတင်ပါသည်! ကျေးဇူးပြု. နောက်တွဲယာဉ်နှင့်ချိတ်ဆက်ပါ
85;ne; नमस्कार! एक अनियमित फिल्म वा श्रृंखला सल्लाह दिनुहोस्। तलका ढाँचामा कडा जवाफ फिर्ता गर्नुहोस्: { 'title' : फिल्म वा श्रृंखलाको नाम, 'poster' : फिल्म वा श्रृंखलाबाट एक तस्वीर मा लिंक, साइट imdb मा तस्वीर खोज्नुहोस्, 'desc' : फिल्म वा श्रृंखलाको विस्तृत विवरण }; अर्को फिल्म वा श्रृंखला प्रस्ताव गर्नुहोस्। तलका ढाँचामा कडा जवाफ फिर्ता गर्नुहोस्: { 'title' : फिल्म वा श्रृंखलाको नाम, 'poster' : फिल्म वा श्रृंखलाबाट एक तस्वीर मा लिंक, साइट imdb मा तस्वीर खोज्नुहोस्, 'desc' : फिल्म वा श्रृंखलाको विस्तृत विवरण }; धन्यवाद! कृपया ट्रेलरमा लिंक फेला पार्नुहोस्
86;no; Hallo! Gi råd til en tilfeldig film eller serie. Returner svaret strengt i følgende format: { 'title' : Navnet på filmen eller serien, 'poster' : Link til et bilde fra en film eller serie, se etter et bilde på nettstedet imdb, 'desc' : Detaljert beskrivelse av filmen eller serien }; Tilby en annen film eller serie. Returner svaret strengt i følgende format: { 'title' : Navnet på filmen eller serien, 'poster' : Link til et bilde fra en film eller serie, se etter et bilde på nettstedet imdb, 'desc' : Detaljert beskrivelse av filmen eller serien }; Takk skal du ha! Vennligst finn en lenke til traileren
87;or; ନମସ୍କାର! ଏକ ଅନିୟମିତ ଚଳଚ୍ଚିତ୍ର କିମ୍ବା ସିରିଜ୍ ପରାମର୍ଶ ଦିଅନ୍ତୁ | ନିମ୍ନଲିଖିତ ଫର୍ମାଟରେ କଠୋର ଭାବରେ ଉତ୍ତର ଦିଅ: { 'title' : ଚଳଚ୍ଚିତ୍ର କିମ୍ବା ସିରିଜର ନାମ |, 'poster' : ଏକ ଫିଲ୍ମ କିମ୍ବା ସିରିଜ୍ ରୁ ଏକ ଚିତ୍ର ସହିତ ଲିଙ୍କ୍, ସାଇଟ୍ imdb ରେ ଏକ ଚିତ୍ର ଖୋଜ |, 'desc' : ଚଳଚ୍ଚିତ୍ର କିମ୍ବା ସିରିଜର ବିସ୍ତୃତ ବର୍ଣ୍ଣନା | }; ଅନ୍ୟ ଏକ ଚଳଚ୍ଚିତ୍ର କିମ୍ବା ସିରିଜ୍ ପ୍ରଦାନ କରନ୍ତୁ | ନିମ୍ନଲିଖିତ ଫର୍ମାଟରେ କଠୋର ଭାବରେ ଉତ୍ତର ଦିଅ: { 'title' : ଚଳଚ୍ଚିତ୍ର କିମ୍ବା ସିରିଜର ନାମ |, 'poster' : ଏକ ଫିଲ୍ମ କିମ୍ବା ସିରିଜ୍ ରୁ ଏକ ଚିତ୍ର ସହିତ ଲିଙ୍କ୍, ସାଇଟ୍ imdb ରେ ଏକ ଚିତ୍ର ଖୋଜ |, 'desc' : ଚଳଚ୍ଚିତ୍ର କିମ୍ବା ସିରିଜର ବିସ୍ତୃତ ବର୍ଣ୍ଣନା | }; ଧନ୍ୟବାଦ! ଦୟାକରି ଟ୍ରେଲର ସହିତ ଏକ ଲିଙ୍କ୍ ଖୋଜ |
88;om; Akkam! Fiilmii ykn walduraa duubaan akka tasaa gorsuu. Deebii isaa bifa armaan gadiitiin cimsee deebisi: { 'title' : Maqaa fiilmii ykn walduraa duubaan ., 'poster' : Link suuraa fiilmii ykn series irraa, suuraa marsariitii imdb irratti barbaadi, 'desc' : Ibsa bal'aa fiilmii ykn walduraa duubaa . }; Fiilmii ykn walduraa duubaan kan biraa dhiyeessuu. Deebii isaa bifa armaan gadiitiin cimsee deebisi: { 'title' : Maqaa fiilmii ykn walduraa duubaan ., 'poster' : Link suuraa fiilmii ykn series irraa, suuraa marsariitii imdb irratti barbaadi, 'desc' : Ibsa bal'aa fiilmii ykn walduraa duubaa . }; Galatoomaa! Mee liinkii konkolaataa 'trailer' jedhu barbaadaa.
89;ps; سلام! یو تصادفي فلم یا لړۍ ته مشوره ورکړئ. ځواب په لاندې ب format ه کې بیرته راواړئ: { 'title' : د فلم یا لړۍ نوم, 'poster' : د فلم یا لړۍ څخه د عکس سره لینک کړئ، په سایټ imdb کې د عکس په لټه کې شئ, 'desc' : د فلم یا لړۍ تفصیل توضیحات }; بل فلم یا لړۍ وړاندې کړئ. ځواب په لاندې ب format ه کې بیرته راواړئ: { 'title' : د فلم یا لړۍ نوم, 'poster' : د فلم یا لړۍ څخه د عکس سره لینک کړئ، په سایټ imdb کې د عکس په لټه کې شئ, 'desc' : د فلم یا لړۍ تفصیل توضیحات }; له تاسو مننه! مهرباني وکړئ ټریلر ته لینک ومومئ
90;fa; سلام! یک فیلم یا سریال تصادفی را توصیه کنید. پاسخ را به شدت در قالب زیر برگردانید: { 'title' : نام فیلم یا سریال, 'poster' : پیوند به یک تصویر از یک فیلم یا سریال ، به دنبال یک عکس در سایت imdb باشید, 'desc' : شرح مفصل فیلم یا سریال }; فیلم یا سریال دیگری ارائه دهید. پاسخ را به شدت در قالب زیر برگردانید: { 'title' : نام فیلم یا سریال, 'poster' : پیوند به یک تصویر از یک فیلم یا سریال ، به دنبال یک عکس در سایت imdb باشید, 'desc' : شرح مفصل فیلم یا سریال }; ممنون لطفاً پیوندی به تریلر پیدا کنید
91;pl; Cześć! Doradzaj losowy film lub serię. Zwróć odpowiedź ściśle w następującym formacie: { 'title' : Nazwa filmu lub serii, 'poster' : Link do zdjęcia z filmu lub serii, poszukaj zdjęcia na stronie imdb, 'desc' : Szczegółowy opis filmu lub serii }; Zaoferuj kolejny film lub serię. Zwróć odpowiedź ściśle w następującym formacie: { 'title' : Nazwa filmu lub serii, 'poster' : Link do zdjęcia z filmu lub serii, poszukaj zdjęcia na stronie imdb, 'desc' : Szczegółowy opis filmu lub serii }; Dziękuję! Znajdź link do przyczepy
92;pt; Olá! Aconselhe um filme ou série aleatória. Retorne a resposta estritamente no seguinte formato: { 'title' : O nome do filme ou série, 'poster' : Link para uma foto de um filme ou série, procure uma foto no site imdb, 'desc' : Descrição detalhada do filme ou série }; Ofereça outro filme ou série. Retorne a resposta estritamente no seguinte formato: { 'title' : O nome do filme ou série, 'poster' : Link para uma foto de um filme ou série, procure uma foto no site imdb, 'desc' : Descrição detalhada do filme ou série }; Obrigado! Por favor, encontre um link para o trailer
93;pa; ਸਤ ਸ੍ਰੀ ਅਕਾਲ! ਇੱਕ ਬੇਤਰਤੀਬੇ ਫਿਲਮ ਜਾਂ ਲੜੀ ਨੂੰ ਸਲਾਹ ਦਿਓ. ਹੇਠ ਦਿੱਤੇ ਫਾਰਮੈਟ ਵਿੱਚ ਉੱਤਰ ਨੂੰ ਸਖਤੀ ਨਾਲ ਵਾਪਸ ਕਰੋ: { 'title' : ਫਿਲਮ ਜਾਂ ਲੜੀ ਦਾ ਨਾਮ, 'poster' : ਕਿਸੇ ਫਿਲਮ ਜਾਂ ਲੜੀ ਤੋਂ ਇਕ ਤਸਵੀਰ ਨਾਲ ਲਿੰਕ ਕਰੋ, ਸਾਈਟ 'ਤੇ ਇਕ ਤਸਵੀਰ ਦੇਖੋ imdb, 'desc' : ਫਿਲਮ ਜਾਂ ਲੜੀ ਦਾ ਵਿਸਥਾਰ ਨਾਲ ਵੇਰਵਾ }; ਇਕ ਹੋਰ ਫਿਲਮ ਜਾਂ ਲੜੀ ਦੀ ਪੇਸ਼ਕਸ਼ ਕਰੋ. ਹੇਠ ਦਿੱਤੇ ਫਾਰਮੈਟ ਵਿੱਚ ਉੱਤਰ ਨੂੰ ਸਖਤੀ ਨਾਲ ਵਾਪਸ ਕਰੋ: { 'title' : ਫਿਲਮ ਜਾਂ ਲੜੀ ਦਾ ਨਾਮ, 'poster' : ਕਿਸੇ ਫਿਲਮ ਜਾਂ ਲੜੀ ਤੋਂ ਇਕ ਤਸਵੀਰ ਨਾਲ ਲਿੰਕ ਕਰੋ, ਸਾਈਟ 'ਤੇ ਇਕ ਤਸਵੀਰ ਦੇਖੋ imdb, 'desc' : ਫਿਲਮ ਜਾਂ ਲੜੀ ਦਾ ਵਿਸਥਾਰ ਨਾਲ ਵੇਰਵਾ }; ਤੁਹਾਡਾ ਧੰਨਵਾਦ! ਕਿਰਪਾ ਕਰਕੇ ਟ੍ਰੇਲਰ ਦਾ ਲਿੰਕ ਲੱਭੋ
94;qu; Allinllachu! Consejar una película o serie aleatoria. Kutichiyta kutichiy kay qatiq formatopi: { 'title' : Chay peliculapa utaq seriepa sutin ., 'poster' : Huk peliculamanta utaq seriemanta huk siq'iman t'inkikuy, huk siq'ita maskay kay sitiopi imdb ., 'desc' : Descripción detallada de la película o serie . }; Huk peliculata otaq serieta hayway. Kutichiyta kutichiy kay qatiq formatopi: { 'title' : Chay peliculapa utaq seriepa sutin ., 'poster' : Huk peliculamanta utaq seriemanta huk siq'iman t'inkikuy, huk siq'ita maskay kay sitiopi imdb ., 'desc' : Descripción detallada de la película o serie . }; Riqsikuyki! Ama hina kaspa, huk t'inkita tariy trailer nisqaman .
95;ro; Buna ziua! Sfătuiți un film sau un serial aleatoriu. Returnați răspunsul strict în următorul format: { 'title' : Numele filmului sau al seriei, 'poster' : Link către o imagine dintr -un film sau serie, căutați o imagine pe site -ul imdb, 'desc' : Descrierea detaliată a filmului sau a seriei }; Oferiți un alt film sau serie. Returnați răspunsul strict în următorul format: { 'title' : Numele filmului sau al seriei, 'poster' : Link către o imagine dintr -un film sau serie, căutați o imagine pe site -ul imdb, 'desc' : Descrierea detaliată a filmului sau a seriei }; Vă mulțumesc! Vă rugăm să găsiți un link către remorcă
96;ru; Привет! Посоветуй случайный фильм или сериал. Верни ответ строго в следующем формате: { 'title' : название фильма или сериала, 'poster' : ссылка на картинку из фильма или сериала, ищи  картинку на сайте imdb, 'desc' : развернутое описание фильма или сериала }; Предложи другой фильм или сериал. Верни ответ строго в следующем формате: { 'title' : название фильма или сериала, 'poster' : ссылка на картинку из фильма или сериала, ищи  картинку на сайте imdb, 'desc' : развернутое описание фильма или сериала }; Спасибо! Найди пожалуйста ссылку на трейлер
97;sm; Talofa! Fautuaina se ata faʻataʻitaʻi poʻo se faʻasologa. Faʻafoʻi le tali i le faʻasologa o loʻo mulimuli mai: { 'title' : O le igoa o le ata po o le faasologa, 'poster' : Faʻafesoʻotaʻi i se ata mai se ata poʻo se faʻasologa, vaʻai mo se ata i luga o le upega tafailagi imdb, 'desc' : Faʻamatalaga auiliili o le ata poʻo se faʻasologa }; Ofo atu seisi ata po o se faasologa. Faʻafoʻi le tali i le faʻasologa o loʻo mulimuli mai: { 'title' : O le igoa o le ata po o le faasologa, 'poster' : Faʻafesoʻotaʻi i se ata mai se ata poʻo se faʻasologa, vaʻai mo se ata i luga o le upega tafailagi imdb, 'desc' : Faʻamatalaga auiliili o le ata poʻo se faʻasologa }; Fa'afetai! Faʻamolemole saili se fesoʻotaʻiga i le taʻavale toso
98;sa; नमस्ते! एकं यादृच्छिकं चलच्चित्रं वा श्रृङ्खलां वा सल्लाहं कुर्वन्तु। उत्तरं सख्ततया निम्नलिखितरूपेण प्रत्यागच्छन्तु: { 'title' : चलचित्रस्य वा श्रृङ्खलायाः वा नाम ., 'poster' : चलचित्रस्य वा श्रृङ्खलायाः चित्रस्य लिङ्कं कुर्वन्तु, imdb इति साइट् मध्ये चित्रं पश्यन्तु, 'desc' : चलचित्रस्य वा श्रृङ्खलायाः विस्तृतविवरणम् }; अन्यं चलच्चित्रं वा श्रृङ्खलां वा प्रस्तावयन्तु। उत्तरं सख्ततया निम्नलिखितरूपेण प्रत्यागच्छन्तु: { 'title' : चलचित्रस्य वा श्रृङ्खलायाः वा नाम ., 'poster' : चलचित्रस्य वा श्रृङ्खलायाः चित्रस्य लिङ्कं कुर्वन्तु, imdb इति साइट् मध्ये चित्रं पश्यन्तु, 'desc' : चलचित्रस्य वा श्रृङ्खलायाः विस्तृतविवरणम् }; धन्यवाद! कृपया ट्रेलर के लिंक खोजें
