id;locale;start_promt;another_promt;trailer
99;gd; Halò! Thoir comhairle do fhilm no sreath air thuaiream. Thoir air ais am freagairt gu cruaidh anns a 'chruth a leanas: { 'title' : Ainm an fhilm no an t-sreath, 'poster' : Ceangal gu dealbh bho fhilm no sreath, coimhead airson dealbh air an làrach imdb, 'desc' : Tuairisgeul mionaideach air an fhilm no an t-sreath }; Tairgse film no sreath eile a thabhann. Thoir air ais am freagairt gu cruaidh anns a 'chruth a leanas: { 'title' : Ainm an fhilm no an t-sreath, 'poster' : Ceangal gu dealbh bho fhilm no sreath, coimhead airson dealbh air an làrach imdb, 'desc' : Tuairisgeul mionaideach air an fhilm no an t-sreath }; Tapadh leat! Feuch an lorg thu ceangal ris an trèilear
100;nso; Thobela! Eletša filimi ya go se kgethe goba lelokelelo. Bušetša karabo ka go tia ka sebopego se se latelago: { 'title' : Lebitso la filimi kapa letoto la lihlooho tse ., 'poster' : Link to a picture from a film or series, batla setšoantšo setšeng imdb ., 'desc' : Tlhaloso e feletseng ea filimi kapa letoto la lihlooho tse . }; Neela filimi e nngwe goba lelokelelo. Bušetša karabo ka go tia ka sebopego se se latelago: { 'title' : Lebitso la filimi kapa letoto la lihlooho tse ., 'poster' : Link to a picture from a film or series, batla setšoantšo setšeng imdb ., 'desc' : Tlhaloso e feletseng ea filimi kapa letoto la lihlooho tse . }; Ke a leboga! Hle hwetša kgokagano ya trailer .
101;sr; Здраво! Саветујте случајни филм или серију. Вратите одговор строго у следећем формату: { 'title' : Име филма или серије, 'poster' : Линк до слике из филма или серије потражите слику на сајту ИМДб.цом, 'desc' : Детаљан опис филма или серије }; Понудите још један филм или серију. Вратите одговор строго у следећем формату: { 'title' : Име филма или серије, 'poster' : Линк до слике из филма или серије потражите слику на сајту ИМДб.цом, 'desc' : Детаљан опис филма или серије }; Хвала вам! Молимо пронађите везу до приколице
102;st; Lumela! Eletsa filimi e sa sebetseng kapa letoto. Khutlisetsa karabo ka kotloloho ka tsela e latelang: { 'title' : Lebitso la filimi kapa letoto, 'poster' : Khokahano ea setšoantšo se tsoang ho filimi kapa letoto, batla setšoantšo se sebakeng sa imdb, 'desc' : Tlhaloso e qaqileng ea filimi kapa letoto }; Fana ka filimi e 'ngoe kapa letoto. Khutlisetsa karabo ka kotloloho ka tsela e latelang: { 'title' : Lebitso la filimi kapa letoto, 'poster' : Khokahano ea setšoantšo se tsoang ho filimi kapa letoto, batla setšoantšo se sebakeng sa imdb, 'desc' : Tlhaloso e qaqileng ea filimi kapa letoto }; Kea leboha! Ka kopo fumana sehokelo sa terata
103;sn; Mhoro! Kuraira firimu risina kujairika kana nhevedzano. Dzosera mhinduro zvakanyatsoita mune inotevera fomati: { 'title' : Zita remufirimu kana nhevedzano, 'poster' : Batanidza pamufananidzo kubva mufirimu kana nhevedzano, tarisa mufananidzo pane saiti imb.com, 'desc' : Tsananguro yakadzama yefirimu kana nhevedzano }; Ipa imwe firimu kana nhevedzano. Dzosera mhinduro zvakanyatsoita mune inotevera fomati: { 'title' : Zita remufirimu kana nhevedzano, 'poster' : Batanidza pamufananidzo kubva mufirimu kana nhevedzano, tarisa mufananidzo pane saiti imb.com, 'desc' : Tsananguro yakadzama yefirimu kana nhevedzano }; Ndatenda! Ndokumbira kuti uwane chinongedzo kune iyo trailer
104;sd; سلام! هڪ بي ترتيب فلم يا سيريز کي صلاح ڏيو. جواب کي هيٺين شڪل ۾ سختي سان موٽايو: { 'title' : فلم يا سيريز جو نالو, 'poster' : هڪ فلم يا سيريز مان هڪ تصوير سان ڳنيو، سائيٽ imdb تي تصوير ڳوليو, 'desc' : فلم يا سيريز جي تفصيلي وضاحت }; هڪ ٻي فلم يا سيريز پيش ڪيو. جواب کي هيٺين شڪل ۾ سختي سان موٽايو: { 'title' : فلم يا سيريز جو نالو, 'poster' : هڪ فلم يا سيريز مان هڪ تصوير سان ڳنيو، سائيٽ imdb تي تصوير ڳوليو, 'desc' : فلم يا سيريز جي تفصيلي وضاحت }; تنهنجي مهرباني! مهرباني ڪري ٽريلر جي لنڪ ڳوليو
105;si; ආයුබෝවන්! අහඹු චිත්රපටයක් හෝ ශ්රේණියක් උපදෙස් දෙන්න. පිළිතුර තදින් පහත ආකෘතියෙන් ආපසු එවන්න: { 'title' : චිත්රපටයේ හෝ ශ්රේණියේ නම, 'poster' : චිත්රපටයක් හෝ මාලාවක පින්තූරයකට සම්බන්ධ වන්න, imdb වෙබ් අඩවියේ පින්තූරයක් සොයන්න, 'desc' : චිත්රපටය හෝ මාලාව පිළිබඳ සවිස්තරාත්මක විස්තරයක් }; වෙනත් චිත්රපටයක් හෝ මාලාවක් ඉදිරිපත් කරන්න. පිළිතුර තදින් පහත ආකෘතියෙන් ආපසු එවන්න: { 'title' : චිත්රපටයේ හෝ ශ්රේණියේ නම, 'poster' : චිත්රපටයක් හෝ මාලාවක පින්තූරයකට සම්බන්ධ වන්න, imdb වෙබ් අඩවියේ පින්තූරයක් සොයන්න, 'desc' : චිත්රපටය හෝ මාලාව පිළිබඳ සවිස්තරාත්මක විස්තරයක් }; ඔයාට ස්තූතියි! කරුණාකර ට්රේලරයේ සබැඳියක් සොයා ගන්න
106;sk; Ahoj! Poraďte sa s náhodným filmom alebo sériou. Vráťte odpoveď striktne v nasledujúcom formáte: { 'title' : Názov filmu alebo série, 'poster' : Odkaz na obrázok z filmu alebo série, pozrite si obrázok na webe imdb, 'desc' : Podrobný popis filmu alebo série }; Ponúknite ďalší film alebo sériu. Vráťte odpoveď striktne v nasledujúcom formáte: { 'title' : Názov filmu alebo série, 'poster' : Odkaz na obrázok z filmu alebo série, pozrite si obrázok na webe imdb, 'desc' : Podrobný popis filmu alebo série }; Ďakujem! Nájdite odkaz na príves
107;sl; Pozdravljeni! Svetujte naključni film ali serijo. Odgovor vrnite strogo v naslednji obliki: { 'title' : Ime filma ali serije, 'poster' : Povezava do slike iz filma ali serije, poiščite sliko na spletnem mestu imdb, 'desc' : Podroben opis filma ali serije }; Ponudite še en film ali serijo. Odgovor vrnite strogo v naslednji obliki: { 'title' : Ime filma ali serije, 'poster' : Povezava do slike iz filma ali serije, poiščite sliko na spletnem mestu imdb, 'desc' : Podroben opis filma ali serije }; Hvala! Poiščite povezavo do napovednika
108;so; Salaan! Kala tasho filim aan kala sooc lahayn ama taxane ah. Ku soo celi jawaabta si adag qaabkan soosocda: { 'title' : Magaca filimka ama taxanaha, 'poster' : Kuxiriirta sawirka filimka ama taxanaha, ka raadi sawir bogga imdb, 'desc' : Sharraxaad faahfaahsan oo ku saabsan filimka ama taxanaha }; Sii filim kale ama taxane ah. Ku soo celi jawaabta si adag qaabkan soosocda: { 'title' : Magaca filimka ama taxanaha, 'poster' : Kuxiriirta sawirka filimka ama taxanaha, ka raadi sawir bogga imdb, 'desc' : Sharraxaad faahfaahsan oo ku saabsan filimka ama taxanaha }; Waad ku mahadsan tahay! Fadlan ka hel xiriiriye trailer
109;es; ¡Hola! Asesorar una película o serie aleatoria. Devuelva la respuesta estrictamente en el siguiente formato: { 'title' : El nombre de la película o serie, 'poster' : Enlace a una imagen de una película o serie, busque una imagen en el sitio imdb, 'desc' : Descripción detallada de la película o serie }; Ofrezca otra película o serie. Devuelva la respuesta estrictamente en el siguiente formato: { 'title' : El nombre de la película o serie, 'poster' : Enlace a una imagen de una película o serie, busque una imagen en el sitio imdb, 'desc' : Descripción detallada de la película o serie }; ¡Gracias! Encuentre un enlace al trailer
110;su; Halo! Mamatahan pilem acak atanapi séri. Balikkeun jawaban mastikeun dina pormat di handap ieu: { 'title' : Ngaran pilem atanapi séri, 'poster' : Link ka gambar tina pilem atanapi séri, milarian gambar dina situs imdb, 'desc' : Katerangan rinci pilem atanapi séri }; Nawiskeun pilem atanapi séri. Balikkeun jawaban mastikeun dina pormat di handap ieu: { 'title' : Ngaran pilem atanapi séri, 'poster' : Link ka gambar tina pilem atanapi séri, milarian gambar dina situs imdb, 'desc' : Katerangan rinci pilem atanapi séri }; Hatur nuhun! Punten milarian tautan kana trailer
111;sw; Hello! Kushauri filamu isiyo ya kawaida au mfululizo. Rudisha jibu madhubuti katika muundo ufuatao: { 'title' : Jina la filamu au mfululizo, 'poster' : Unganisha na picha kutoka kwa filamu au safu, tafuta picha kwenye wavuti imdb, 'desc' : Maelezo ya kina ya filamu au safu }; Toa filamu nyingine au mfululizo. Rudisha jibu madhubuti katika muundo ufuatao: { 'title' : Jina la filamu au mfululizo, 'poster' : Unganisha na picha kutoka kwa filamu au safu, tafuta picha kwenye wavuti imdb, 'desc' : Maelezo ya kina ya filamu au safu }; Asante! Tafadhali pata kiunga cha trela
112;sv; Hej! Råda en slumpmässig film eller serie. Returnera svaret strikt i följande format: { 'title' : Namnet på filmen eller serien, 'poster' : Länk till en bild från en film eller en serie, leta efter en bild på webbplatsen imdb, 'desc' : Detaljerad beskrivning av filmen eller serien }; Erbjud en annan film eller serie. Returnera svaret strikt i följande format: { 'title' : Namnet på filmen eller serien, 'poster' : Länk till en bild från en film eller en serie, leta efter en bild på webbplatsen imdb, 'desc' : Detaljerad beskrivning av filmen eller serien }; Tack! Vänligen hitta en länk till trailern
113;tg; Салом! Филми тасодуфӣ ё силсила маслиҳат диҳед. Ҷавобро дар формати зерин қатъиян баргардонед: { 'title' : Номи филм ё силсила, 'poster' : Истинод ба тасвир аз филм ё силсила, як тасвирро дар сайт imdb ҷустуҷӯ кунед, 'desc' : Тавсифи муфассали филм ё силсила }; Филми дигар ё силсиларо пешниҳод кунед. Ҷавобро дар формати зерин қатъиян баргардонед: { 'title' : Номи филм ё силсила, 'poster' : Истинод ба тасвир аз филм ё силсила, як тасвирро дар сайт imdb ҷустуҷӯ кунед, 'desc' : Тавсифи муфассали филм ё силсила }; Сипос! Лутфан пайвандро ба трейлер пайдо кунед
114;ta; வணக்கம்! ஒரு சீரற்ற படம் அல்லது தொடருக்கு ஆலோசனை கூறுங்கள். பின்வரும் வடிவத்தில் பதிலை கண்டிப்பாக திருப்பித் தரவும்: { 'title' : படம் அல்லது தொடரின் பெயர், 'poster' : ஒரு படம் அல்லது தொடரின் படத்திற்கான இணைப்பு, imdb தளத்தில் ஒரு படத்தைத் தேடுங்கள், 'desc' : படம் அல்லது தொடரின் விரிவான விளக்கம் }; மற்றொரு படம் அல்லது தொடரை வழங்குங்கள். பின்வரும் வடிவத்தில் பதிலை கண்டிப்பாக திருப்பித் தரவும்: { 'title' : படம் அல்லது தொடரின் பெயர், 'poster' : ஒரு படம் அல்லது தொடரின் படத்திற்கான இணைப்பு, imdb தளத்தில் ஒரு படத்தைத் தேடுங்கள், 'desc' : படம் அல்லது தொடரின் விரிவான விளக்கம் }; நன்றி! டிரெய்லருக்கான இணைப்பைக் கண்டறியவும்
115;tt; Сәлам! Очраклы кино яки сериягә киңәш бирегез. Answerавапны түбәндәге форматта кайтарыгыз: { 'title' : Фильмның яки сериянең исеме, 'poster' : Фильмның яки сериясеннән рәсемгә сылтама imdb сайтында рәсем эзләгез, 'desc' : Фильмның яки сериясенең җентекле тасвирламасы }; Бүтән кино яки серия тәкъдим итегез. Answerавапны түбәндәге форматта кайтарыгыз: { 'title' : Фильмның яки сериянең исеме, 'poster' : Фильмның яки сериясеннән рәсемгә сылтама imdb сайтында рәсем эзләгез, 'desc' : Фильмның яки сериясенең җентекле тасвирламасы }; Рәхмәт! Зинһар, трейлерга сылтама табыгыз
116;te; హలో! యాదృచ్ఛిక చిత్రం లేదా సిరీస్‌కు సలహా ఇవ్వండి. కింది ఆకృతిలో సమాధానం ఖచ్చితంగా తిరిగి ఇవ్వండి: { 'title' : చిత్రం లేదా సిరీస్ పేరు, 'poster' : చలనచిత్రం లేదా సిరీస్ నుండి చిత్రానికి లింక్, imdb సైట్‌లో చిత్రం కోసం చూడండి, 'desc' : చిత్రం లేదా సిరీస్ యొక్క వివరణాత్మక వివరణ }; మరొక చిత్రం లేదా సిరీస్‌ను అందించండి. కింది ఆకృతిలో సమాధానం ఖచ్చితంగా తిరిగి ఇవ్వండి: { 'title' : చిత్రం లేదా సిరీస్ పేరు, 'poster' : చలనచిత్రం లేదా సిరీస్ నుండి చిత్రానికి లింక్, imdb సైట్‌లో చిత్రం కోసం చూడండి, 'desc' : చిత్రం లేదా సిరీస్ యొక్క వివరణాత్మక వివరణ }; ధన్యవాదాలు! దయచేసి ట్రైలర్‌కు లింక్‌ను కనుగొనండి
117;th; สวัสดี! แนะนำภาพยนตร์หรือซีรีส์แบบสุ่ม ส่งคืนคำตอบอย่างเคร่งครัดในรูปแบบต่อไปนี้: { 'title' : ชื่อของภาพยนตร์หรือซีรีส์, 'poster' : ลิงค์ไปยังรูปภาพจากภาพยนตร์หรือซีรีส์ให้มองหารูปภาพบนเว็บไซต์ imdb, 'desc' : คำอธิบายโดยละเอียดของภาพยนตร์หรือซีรีส์ }; เสนอภาพยนตร์หรือซีรีส์อื่น ส่งคืนคำตอบอย่างเคร่งครัดในรูปแบบต่อไปนี้: { 'title' : ชื่อของภาพยนตร์หรือซีรีส์, 'poster' : ลิงค์ไปยังรูปภาพจากภาพยนตร์หรือซีรีส์ให้มองหารูปภาพบนเว็บไซต์ imdb, 'desc' : คำอธิบายโดยละเอียดของภาพยนตร์หรือซีรีส์ }; ขอบคุณ! โปรดค้นหาลิงค์ไปยังรถพ่วง
118;ti; ሰላም! ንሓደ ዕድመ ንእስነት ፊልም ወይ ተኸታታሊ ፊልም ምኽሪ ምሃብ። መልሲ ብጥብቂ ብዝስዕብ ቅርጺ ምምላስ፤ { 'title' : ስም ናይቲ ፊልም ወይ ተኸታታሊ ፊልም ., 'poster' : Link to a picture from a film or series, ኣብ መርበብ ሓበሬታ imdb ስእሊ ድለዩ, 'desc' : ዝርዝር መግለጺ ናይቲ ፊልም ወይ ተኸታታሊ ፊልም }; ካልእ ፊልም ወይ ተኸታታሊ ፊልም ኣቕርብ። መልሲ ብጥብቂ ብዝስዕብ ቅርጺ ምምላስ፤ { 'title' : ስም ናይቲ ፊልም ወይ ተኸታታሊ ፊልም ., 'poster' : Link to a picture from a film or series, ኣብ መርበብ ሓበሬታ imdb ስእሊ ድለዩ, 'desc' : ዝርዝር መግለጺ ናይቲ ፊልም ወይ ተኸታታሊ ፊልም }; የቕንየለይ! በጃኹም ናብ ትረይለር ዝወስድ ሊንክ ርኸቡ
119;ts; Avuxeni! Tsundzuxa filimi kumbe nongonoko lowu nga hlelekangiki. Vuyisa nhlamulo hi ku kongoma eka xivumbeko lexi landzelaka: { 'title' : Vito ra filimi kumbe nxaxamelo ., 'poster' : Xihlanganisi xa xifaniso lexi humaka eka filimi kumbe nongonoko, lava xifaniso eka sayiti imdb ., 'desc' : Nhlamuselo ya vuxokoxoko bya filimi kumbe nxaxamelo . }; Nyikela filimi yin’wana kumbe nongonoko. Vuyisa nhlamulo hi ku kongoma eka xivumbeko lexi landzelaka: { 'title' : Vito ra filimi kumbe nxaxamelo ., 'poster' : Xihlanganisi xa xifaniso lexi humaka eka filimi kumbe nongonoko, lava xifaniso eka sayiti imdb ., 'desc' : Nhlamuselo ya vuxokoxoko bya filimi kumbe nxaxamelo . }; Inkomu! Hi kombela u kuma link ya trailer .
120;tr; Merhaba! Rastgele bir film veya seri tavsiye edin. Cevabı kesinlikle aşağıdaki formatta döndürün: { 'title' : Filmin veya dizinin adı, 'poster' : Bir film veya seriden bir resme bağlantı, imdb sitesinde bir resim arayın, 'desc' : Filmin veya serinin ayrıntılı açıklaması }; Başka bir film veya dizi sunun. Cevabı kesinlikle aşağıdaki formatta döndürün: { 'title' : Filmin veya dizinin adı, 'poster' : Bir film veya seriden bir resme bağlantı, imdb sitesinde bir resim arayın, 'desc' : Filmin veya serinin ayrıntılı açıklaması }; Teşekkür ederim! Lütfen fragmana bir bağlantı bulun
121;tk; Salam! Tötänleýin film ýa-da seriýany maslahat beriň. Jogaby aşakdaky formatda gaýtaryp beriň: { 'title' : Filmiň ýa-da seriýanyň ady, 'poster' : Filmden ýa-da seriýadan surata baglanyşyk, imdb sahypasynda surat gözläň, 'desc' : Filmiň ýa-da seriýanyň jikme-jik beýany }; Başga bir film ýa-da seriýany teklip ediň. Jogaby aşakdaky formatda gaýtaryp beriň: { 'title' : Filmiň ýa-da seriýanyň ady, 'poster' : Filmden ýa-da seriýadan surata baglanyşyk, imdb sahypasynda surat gözläň, 'desc' : Filmiň ýa-da seriýanyň jikme-jik beýany }; Sagbol! Tirkege baglanyşyk tapmagyňyzy haýyş edýäris
122;ak; Hɛlo! Tu fo sɛ sini anaa nsɛm a ɛtoatoa so a wɔanhyɛ da ayɛ. San fa mmuae no san ba katee wɔ ɔkwan a edidi so yi so: { 'title' : Sini anaa nsɛm a ɛtoatoa so no din ., 'poster' : Link to a picture from a film anaa series, hwehwɛ mfonini wɔ site imdb so ., 'desc' : Sini anaa nsɛm a ɛtoatoa so ho nkyerɛkyerɛmu a ɛkɔ akyiri . }; Fa sini anaa nsɛm a ɛtoatoa so foforo ma. San fa mmuae no san ba katee wɔ ɔkwan a edidi so yi so: { 'title' : Sini anaa nsɛm a ɛtoatoa so no din ., 'poster' : Link to a picture from a film anaa series, hwehwɛ mfonini wɔ site imdb so ., 'desc' : Sini anaa nsɛm a ɛtoatoa so ho nkyerɛkyerɛmu a ɛkɔ akyiri . }; Meda wo ase! Yɛsrɛ sɛ hwehwɛ link a ɛkɔ trailer no so .
123;uk; Привіт! Порадьте випадковий фільм чи серіал. Поверніть відповідь суворо у такому форматі: { 'title' : Назва фільму чи серіалу, 'poster' : Посилання на малюнок із фільму чи серіалу, шукайте малюнок на сайті imdb, 'desc' : Детальний опис фільму чи серіалу }; Запропонуйте ще один фільм чи серіал. Поверніть відповідь суворо у такому форматі: { 'title' : Назва фільму чи серіалу, 'poster' : Посилання на малюнок із фільму чи серіалу, шукайте малюнок на сайті imdb, 'desc' : Детальний опис фільму чи серіалу }; Дякую! Будь ласка, знайдіть посилання на трейлер
124;ur; ہیلو! بے ترتیب فلم یا سیریز کا مشورہ دیں۔ مندرجہ ذیل فارمیٹ میں جواب کو سختی سے واپس کریں: { 'title' : فلم یا سیریز کا نام, 'poster' : کسی فلم یا سیریز کی تصویر سے لنک کریں ، سائٹ imdb پر تصویر تلاش کریں, 'desc' : فلم یا سیریز کی تفصیلی تفصیل }; ایک اور فلم یا سیریز پیش کریں۔ مندرجہ ذیل فارمیٹ میں جواب کو سختی سے واپس کریں: { 'title' : فلم یا سیریز کا نام, 'poster' : کسی فلم یا سیریز کی تصویر سے لنک کریں ، سائٹ imdb پر تصویر تلاش کریں, 'desc' : فلم یا سیریز کی تفصیلی تفصیل }; آپ کا شکریہ! براہ کرم ٹریلر کا لنک تلاش کریں
125;ug; ياخشىمۇسىز! ئىختىيارى كىنو ياكى يۈرۈشلۈكلەرنى تەۋسىيە قىلىڭ. جاۋابنى تۆۋەندىكى فورماتتا قايتۇرۇڭ: { 'title' : كىنو ياكى يۈرۈشلۈكنىڭ ئىسمى, 'poster' : فىلىم ياكى بىر يۈرۈش رەسىمگە ئۇلىنىش, تور بېكەت imdb دىكى رەسىمنى ئىزدەڭ, 'desc' : فىلىم ياكى يۈرۈشلۈكلەرنىڭ تەپسىلىي چۈشەندۈرۈشى }; باشقا كىنو ياكى يۈرۈش بىلەن تەمىنلەڭ. جاۋابنى تۆۋەندىكى فورماتتا قايتۇرۇڭ: { 'title' : كىنو ياكى يۈرۈشلۈكنىڭ ئىسمى, 'poster' : فىلىم ياكى بىر يۈرۈش رەسىمگە ئۇلىنىش, تور بېكەت imdb دىكى رەسىمنى ئىزدەڭ, 'desc' : فىلىم ياكى يۈرۈشلۈكلەرنىڭ تەپسىلىي چۈشەندۈرۈشى }; رەھمەت سىزگە! يۈك ماشىنىسىغا ئۇلىنىش تېپىڭ
126;uz; Salom! Tasodifiy film yoki seriyalarga maslahat bering. Javobni quyidagi formatda bajaring: { 'title' : Film yoki seriya nomi, 'poster' : Film yoki seriyadan rasmga havola, imdb saytidagi rasmni qidiring, 'desc' : Film yoki seriyalarning batafsil tavsifi }; Boshqa film yoki seriyalarni taklif qiling. Javobni quyidagi formatda bajaring: { 'title' : Film yoki seriya nomi, 'poster' : Film yoki seriyadan rasmga havola, imdb saytidagi rasmni qidiring, 'desc' : Film yoki seriyalarning batafsil tavsifi }; Rahmat! Iltimos, treylerga havolani toping
127;vi; Xin chào! Tư vấn cho một bộ phim hoặc loạt phim ngẫu nhiên. Trả về câu trả lời nghiêm ngặt theo định dạng sau: { 'title' : Tên của bộ phim hoặc loạt phim, 'poster' : Liên kết đến một hình ảnh từ một bộ phim hoặc sê -ri, hãy tìm một hình ảnh trên trang web imdb, 'desc' : Mô tả chi tiết về bộ phim hoặc loạt phim }; Cung cấp một bộ phim hoặc loạt phim khác. Trả về câu trả lời nghiêm ngặt theo định dạng sau: { 'title' : Tên của bộ phim hoặc loạt phim, 'poster' : Liên kết đến một hình ảnh từ một bộ phim hoặc sê -ri, hãy tìm một hình ảnh trên trang web imdb, 'desc' : Mô tả chi tiết về bộ phim hoặc loạt phim }; Cảm ơn! Vui lòng tìm một liên kết đến đoạn giới thiệu
128;cy; Helo! Cynghori ffilm neu gyfres ar hap. Dychwelwch yr ateb yn llym yn y fformat canlynol: { 'title' : Enw'r ffilm neu'r gyfres, 'poster' : Dolen i lun o ffilm neu gyfres, edrychwch am lun ar y wefan imdb, 'desc' : Disgrifiad manwl o'r ffilm neu'r gyfres }; Cynnig ffilm neu gyfres arall. Dychwelwch yr ateb yn llym yn y fformat canlynol: { 'title' : Enw'r ffilm neu'r gyfres, 'poster' : Dolen i lun o ffilm neu gyfres, edrychwch am lun ar y wefan imdb, 'desc' : Disgrifiad manwl o'r ffilm neu'r gyfres }; Diolch! Dewch o hyd i ddolen i'r trelar
129;xh; Mholo! Cebisa ifilimu okanye uthotho. Buyisela impendulo ngokungqongqo kwezi ndlela zilandelayo: { 'title' : Igama lefilimu okanye uthotho, 'poster' : Qhagamshela kumfanekiso osuka kwifilimu okanye uthotho, jonga umfanekiso kwindawo ye-imdb, 'desc' : Inkcazo eneenkcukacha yefilimu okanye uthotho }; Nika enye ifilimu okanye uthotho. Buyisela impendulo ngokungqongqo kwezi ndlela zilandelayo: { 'title' : Igama lefilimu okanye uthotho, 'poster' : Qhagamshela kumfanekiso osuka kwifilimu okanye uthotho, jonga umfanekiso kwindawo ye-imdb, 'desc' : Inkcazo eneenkcukacha yefilimu okanye uthotho }; Enkosi! Nceda ufumane ikhonkco kwi trailer
130;yi; אַ גוט יאָר! רעקאָמענדירן אַ טראַפ - פילם אָדער סעריע. צוריקקומען די ענטפער שטרענג אין די פאלגענדע פֿאָרמאַט: { 'title' : דער נאָמען פון דעם פילם אָדער סעריע, 'poster' : לינק צו אַ בילד פון אַ פילם אָדער סעריע, איר זוכט פֿאַר אַ בילד אויף דעם פּלאַץ imdb, 'desc' : דיטיילד באַשרייַבונג פון די פילם אָדער סעריע }; פאָרשלאָגן אן אנדער פילם אָדער סעריע. צוריקקומען די ענטפער שטרענג אין די פאלגענדע פֿאָרמאַט: { 'title' : דער נאָמען פון דעם פילם אָדער סעריע, 'poster' : לינק צו אַ בילד פון אַ פילם אָדער סעריע, איר זוכט פֿאַר אַ בילד אויף דעם פּלאַץ imdb, 'desc' : דיטיילד באַשרייַבונג פון די פילם אָדער סעריע }; אַ דאַנק! ביטע געפֿינען אַ לינק צו די טריילער
131;yo; Pẹlẹ o! Ni imọran fiimu ID tabi jara. Pada idahun naa muna ni ọna wọnyi: { 'title' : Orukọ fiimu naa tabi jara, 'poster' : Ọna asopọ si aworan kan lati fiimu kan tabi jara, wo fun aworan kan lori Aye imdb, 'desc' : Alaye alaye ti fiimu tabi jara }; Pese fiimu tabi jara. Pada idahun naa muna ni ọna wọnyi: { 'title' : Orukọ fiimu naa tabi jara, 'poster' : Ọna asopọ si aworan kan lati fiimu kan tabi jara, wo fun aworan kan lori Aye imdb, 'desc' : Alaye alaye ti fiimu tabi jara }; E dupe! Jọwọ wa ọna asopọ kan si trailer
132;zu; Sawubona! Yeluleka ifilimu noma uchungechunge olungahleliwe. Buyisela impendulo ngokuqinile ngefomethi elandelayo: { 'title' : Igama lefilimu noma uchungechunge, 'poster' : Xhumanisa esithombeni esivela kwifilimu noma uchungechunge, funa isithombe kwisayithi imdb, 'desc' : Ukuchazwa okuningiliziwe kwefilimu noma uchungechunge }; Nikeza enye ifilimu noma uchungechunge. Buyisela impendulo ngokuqinile ngefomethi elandelayo: { 'title' : Igama lefilimu noma uchungechunge, 'poster' : Xhumanisa esithombeni esivela kwifilimu noma uchungechunge, funa isithombe kwisayithi imdb, 'desc' : Ukuchazwa okuningiliziwe kwefilimu noma uchungechunge }; Ngiyabonga! Sicela uthole isixhumanisi se-trailer
133;;;;
